Inventario;Autore;Ambito culturale;Datazione;Titolo-soggetto;Materiali;Immagine;lsreferenceby
2471/C;;Napoli/ Real Fabbrica;XVIII;un signore/ una signora/ un cane;porcellana;http://93.62.170.226/foto/M0001757.jpg;http://www.palazzomadamatorino.it/it/node/8405
2472/C;;Napoli/ Real Fabbrica;XVIII;fortezza;porcellana;http://93.62.170.226/foto/M0001758.jpg;http://www.palazzomadamatorino.it/it/node/8406
2474/C;;fabbrica di Napoli;XVIII;famiglia napoletana;porcellana;http://93.62.170.226/foto/M0001760.jpg;http://www.palazzomadamatorino.it/it/node/8408
2475/C;;Napoli/ Real Fabbrica;XVIII;mazzo di fiori/ fiori/ foglie;porcellana;http://93.62.170.226/foto/M0001761.jpg;http://www.palazzomadamatorino.it/it/node/8409
2476/C;;Napoli/ Real Fabbrica;XIX;veduta di Pozzuoli;porcellana;http://93.62.170.226/foto/M0001762.jpg;http://www.palazzomadamatorino.it/it/node/8410
2477/C;;Doccia/ manifattura Ginori;XVIII;personaggio in costume;porcellana;http://93.62.170.226/foto/M0001763.jpg;http://www.palazzomadamatorino.it/it/node/8411
2478/C;;Doccia/ manifattura Ginori;XVIII;figura femminile in abito di Arlecchino;porcellana;http://93.62.170.226/foto/M0001764.jpg;http://www.palazzomadamatorino.it/it/node/8412
2480/C;;manifattura Ginori - Doccia;XVIII;figura maschile in abito di Arlecchino;porcellana;http://93.62.170.226/foto/M0001766.jpg;http://www.palazzomadamatorino.it/it/node/8414
2482/C;Gricci Giuseppe;fabbrica di Capodimonte;XVIII;due maschere italiane;porcellana;http://93.62.170.226/foto/M0001768.jpg;http://www.palazzomadamatorino.it/it/node/25238
2488/C;;manifattura Ginori - Doccia;XVIII;centauro che rapisce due donne;porcellana;http://93.62.170.226/foto/M0001773.jpg;http://www.palazzomadamatorino.it/it/node/8420
2489/C;;fabbrica Reale di Napoli;XIX;due Muse;porcellana;http://93.62.170.226/foto/M0001774.jpg;http://www.palazzomadamatorino.it/it/node/8421
2493/C;;manifattura Ginori - Doccia;XVIII;due putti nudi seduti;porcellana;http://93.62.170.226/foto/M0001778.jpg;http://www.palazzomadamatorino.it/it/node/8425
2494/C;;manifattura di le Nove - Antonibon;ca. 1795 - ca. 1805;quattro personaggi e un cavallo ai piedi di un albero;porcellana;http://93.62.170.226/foto/M0001779.jpg;http://www.palazzomadamatorino.it/it/node/8426
2498/C;Tagliolini Filippo;Napoli/ Real Fabbrica;XVIII - XIX;Ercole e Iole;biscuit;http://93.62.170.226/foto/M0001783.jpg;http://www.palazzomadamatorino.it/it/node/25239
2500/C;;Doccia/ manifattura Ginori;XVIII;mazzo di fiori/ fiori/ foglie;porcellana;http://93.62.170.226/foto/M0001785.jpg;http://www.palazzomadamatorino.it/it/node/8431
2502/C;;fabbrica di Capodimonte;XVII;tazza con piattino;porcellana;http://93.62.170.226/foto/M0001787.jpg;http://www.palazzomadamatorino.it/it/node/28695
2503/C;;fabbrica di Capodimonte;XVIII;frutti di mare/ uomo e donna;porcellana;http://93.62.170.226/foto/M0001788A.jpg;http://www.palazzomadamatorino.it/it/node/8433
2506/C;Tagliolini Filippo;Napoli/ Real Fabbrica;XVIII;Ercole che fila/ il Trionfo di Venere;biscuit;http://93.62.170.226/foto/M0001791.jpg;http://www.palazzomadamatorino.it/it/node/8436
2507/C;Tagliolini Filippo;Napoli/ Real Fabbrica;XVIII;fiume Sebeto;biscuit;http://93.62.170.226/foto/M0001792.jpg;http://www.palazzomadamatorino.it/it/node/8437
2508/C;;Madrid/ Real Fabbrica del Buen Ririro;XVIII;scene bacchiche;porcellana bianca;http://93.62.170.226/foto/M0001793A.jpg;http://www.palazzomadamatorino.it/it/node/8438
2567/C;Baroni;Antonibon;1802 - 1820;fatti mitologici;terraglia;http://93.62.170.226/foto/M0001852.jpg;http://www.palazzomadamatorino.it/it/node/8470
2568/C;Ortolani Paolo;manifattura di le Nove - Antonibon;XVIII;fiori/ uccelli e frutti;porcellana;http://93.62.170.226/foto/M0001853.jpg;http://www.palazzomadamatorino.it/it/node/8471
2569/C;;fabbrica di Sceaux;XVIII;paese e uccelli;porcellana;http://93.62.170.226/foto/M0001854.jpg;http://www.palazzomadamatorino.it/it/node/8472
2571/C;;fabbrica Marinoni Angarano - Bassano;XVIII;stemmi e scritta;maiolica;http://93.62.170.226/foto/M0001856.jpg;http://www.palazzomadamatorino.it/it/node/8474
2574/C;;fabbrica di Urbania;XVII;Madonna di Loreto e iscrizione;maiolica;http://93.62.170.226/foto/M0001859.jpg;http://www.palazzomadamatorino.it/it/node/8476
2579/C;;manifattura Costa Fabris - Este;1792 - 1792;il Tempo;terraglia;http://93.62.170.226/foto/M0001864.jpg;http://www.palazzomadamatorino.it/it/node/8480
2582/C;;fabbrica Terchi - Roma;XVIII;paesaggi e fiori;maiolica;http://93.62.170.226/foto/M0001867.jpg;http://www.palazzomadamatorino.it/it/node/8483
2583/C;;fabbrica Terchi - Roma;XVIII;frutta/ foglie e puttini;maiolica;http://93.62.170.226/foto/M0001868.jpg;http://www.palazzomadamatorino.it/it/node/8484
2584/C;;manifattura Sebellin - Vicenza;XVIII;Cibele;terraglia;http://93.62.170.226/foto/M0001869.jpg;http://www.palazzomadamatorino.it/it/node/8485
2595/C;;fabbrica di Strasbourg;XVIII;cavolo;maiolica;http://93.62.170.226/foto/M0001880.jpg;http://www.palazzomadamatorino.it/it/node/28726
2596/C;;manifattura di Le Nove;1574 - 1574;zuppiera con piatto;maiolica;http://93.62.170.226/foto/M0001881.jpg;http://www.palazzomadamatorino.it/it/node/28727
2600/C;;manifattura Franchini - Este;XVIII;zuppiera;terraglia;http://93.62.170.226/foto/M0001885.jpg;http://www.palazzomadamatorino.it/it/node/28731
2602/C;;manifattura Cozzi - Venezia;XVIII;la famiglia del Cipriani;porcellana;http://93.62.170.226/foto/M0001887.jpg;http://www.palazzomadamatorino.it/it/node/8489
2603/C;;manifattura Cozzi - Venezia;XVIII;ninfe al bagno;porcellana;http://93.62.170.226/foto/M0001888.jpg;http://www.palazzomadamatorino.it/it/node/8490
2606/C;;manifattura Cozzi - Venezia;XVIII;fanciullo seduto;porcellana;http://93.62.170.226/foto/M0001891.jpg;http://www.palazzomadamatorino.it/it/node/8491
2607/C;;manifattura di Geminiano Cozzi;XVIII;bambino e bambina;porcellana;http://93.62.170.226/foto/M0001892.jpg;http://www.palazzomadamatorino.it/it/node/8492
2609/C;;manifattura Cozzi - Venezia;XVIII;donna con bambino;porcellana;http://93.62.170.226/foto/M0001894.jpg;http://www.palazzomadamatorino.it/it/node/8494
2610/C;;manifattura di Le Nove;XVIII;fiori e paese;porcellana;http://93.62.170.226/foto/M0001895.jpg;http://www.palazzomadamatorino.it/it/node/8495
2613/C;;Antonibon;XVIII;due guerrieri;porcellana bianca;http://93.62.170.226/foto/M0001898A.jpg;http://www.palazzomadamatorino.it/it/node/8498
2616/C;;manifattura Cozzi - Venezia;XVIII;bambino e bambina;porcellana bianca;http://93.62.170.226/foto/M0001901.jpg;http://www.palazzomadamatorino.it/it/node/8501
2620/C;;fabbrica di Venezia;XVIII;piatto;porcellana;http://93.62.170.226/foto/M0001905.jpg;http://www.palazzomadamatorino.it/it/node/28735
2621/C;;manifattura Cozzi - Venezia;;rose/ narcisi/ mughetti;;http://93.62.170.226/foto/M0001906.jpg;http://www.palazzomadamatorino.it/it/node/25246
2622/C;;manifattura Cozzi - Venezia;XVIII;draghi azzurri;porcellana;http://93.62.170.226/foto/M0001907.jpg;http://www.palazzomadamatorino.it/it/node/8505
2623/C;;manifattura d'Este;XVIII;Venezia;porcellana;http://93.62.170.226/foto/M0001908.jpg;http://www.palazzomadamatorino.it/it/node/8506
2631/C;;manifattura Cozzi - Venezia;XVIII;bricco da caffe';porcellana;http://93.62.170.226/foto/M0001916.jpg;http://www.palazzomadamatorino.it/it/node/28737
2635/C;;fabbrica di Venezia (?);XVIII;Andromeda allo scoglio;porcellana bianca;http://93.62.170.226/foto/M0001920.jpg;http://www.palazzomadamatorino.it/it/node/8514
2636/C;;manifattura d'Este;XVIII;Venere e Vulcano;porcellana bianca;http://93.62.170.226/foto/M0001921.jpg;http://www.palazzomadamatorino.it/it/node/8515
2637/C;;manifattura d'Este;XVIII;Venere appare ad Enea ed Acate;porcellana bianca;http://93.62.170.226/foto/M0001922.jpg;http://www.palazzomadamatorino.it/it/node/8516
2638/C;;manifattura Du Paquier - Vienna;XVIII;scodella con coperchio;porcellana;http://93.62.170.226/foto/M0001923.jpg;http://www.palazzomadamatorino.it/it/node/28740
2639/C;;manifattura Cozzi - Venezia;XVIII;paesi;porcellana;http://93.62.170.226/foto/M0001924.jpg;http://www.palazzomadamatorino.it/it/node/8517
2644/C;;manifattura Cozzi - Venezia;XVIII;Nettuno;porcellana bianca;http://93.62.170.226/foto/M0001929.jpg;http://www.palazzomadamatorino.it/it/node/8521
3425/C;Kirchner Johann Gottlob;manifattura di Meissen;1732 - 1732;otarda;porcellana;http://93.62.170.226/foto/M0003627.jpg;http://www.palazzomadamatorino.it/it/node/25313
3426/C;Kirchner Johann Gottlob;manifattura di Meissen;1732 - 1733;leonessa;porcellana;http://93.62.170.226/foto/M0003628.jpg;http://www.palazzomadamatorino.it/it/node/25314
3427/C;Kandler Johann Johachim;manifattura di Meissen;1735 - 1735;lupa con lupacchiotti;porcellana;http://93.62.170.226/foto/M0003629.jpg;http://www.palazzomadamatorino.it/it/node/25315
3428/C;;manifattura Du Paquier - Vienna (1718-1744);ca. 1730 - ca. 1740;figure di cinesi;porcellana/ argento/ specchio;http://93.62.170.226/foto/M0003630.jpg;http://www.palazzomadamatorino.it/it/node/25316
3433/C;;fabbrica d' Este;XVIII;statua di Venere;maiolica;http://93.62.170.226/foto/M0003634.jpg;http://www.palazzomadamatorino.it/it/node/9808
3434/C;;manifattura Ginori - Doccia;ca. 1830 - ca. 1840;coperchio;porcellana;http://93.62.170.226/foto/M0003635.jpg;http://www.palazzomadamatorino.it/it/node/28928
3424/C;;manifattura di Faenza;XV;Adorazione del Bambino/ Annuncio ai pastori;maiolica;http://93.62.170.226/foto/M0003637.jpg;http://www.palazzomadamatorino.it/it/node/9809
